Week,Chink + Chinaman + Chinkland + Gook + Chinese virus + China virus + Wuhan virus + Kung flu: (United States)
2019-12-29,1
2020-01-05,2
2020-01-12,4
2020-01-19,99
2020-01-26,100
2020-02-02,42
2020-02-09,29
2020-02-16,19
2020-02-23,26
2020-03-01,27
2020-03-08,48
2020-03-15,86
2020-03-22,62
2020-03-29,34
2020-04-05,23
2020-04-12,21
2020-04-19,11
2020-04-26,9
2020-05-03,8
2020-05-10,6
2020-05-17,6
2020-05-24,5
2020-05-31,3
2020-06-07,3
2020-06-14,4
2020-06-21,11
2020-06-28,12
2020-07-05,6
2020-07-12,5
2020-07-19,4
2020-07-26,4
2020-08-02,4
2020-08-09,4
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,4
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,2
2020-11-08,2
2020-11-15,3
2020-11-22,2
2020-11-29,3
2020-12-06,3
2020-12-13,2
2020-12-20,2
2020-12-27,3
2021-01-03,2
2021-01-10,2
2021-01-17,3
2021-01-24,5
2021-01-31,4
2021-02-07,3
2021-02-14,2
2021-02-21,2
2021-02-28,3
2021-03-07,2
2021-03-14,3
2021-03-21,2
2021-03-28,2
2021-04-04,4
2021-04-11,2
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,2
2021-05-16,2
2021-05-23,3
2021-05-30,5
2021-06-06,2
2021-06-13,2
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,2
2021-07-25,2
2021-08-01,2
2021-08-08,2
2021-08-15,2
2021-08-22,2
2021-08-29,2
2021-09-05,2
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,2
